PID,Age,Gender,Nationality,Degree,Level,Faculty,Visual,Computers,Graphs,Study
1,21,F,CH,1,BA,PF,0,1,1,0
2,20,F,CH,1,BA,PF,0,1,1,0
3,22,F,CH,1,MA,IFI,0,1,1,0
4,28,M,CH,1,BA,IFI,0,1,0,0
5,26,M,CH,1,MA,IFI,0,1,1,0
6,24,M,CH,1,MA,IFI,0,1,1,0
7,40,F,SG,1,PhD,PF,0,1,1,0
8,23,M,CH,1,BA,IFI,0,1,0,0
9,23,M,CH,1,BA,IFI,0,1,0,0
10,23,M,CH,1,BA,IFI,0,1,1,0
11,22,F,CH,1,BA,PF,0,1,0,0
12,23,F,CH,1,BA,PF,0,1,1,0
13,20,F,CH,1,BA,PF,0,1,1,0
14,24,M,US,1,MA,IFI,0,1,1,0
15,29,F,CH,1,BA,PF,0,1,0,0
16,26,M,DE,1,MA,IFI,0,1,1,0