id,type,sign,m,sigma,graphtype,src,isValidation,answer,error,unsignedError,index,m,pId
1,line,1,0.40,0.2,quad,data/P1/quad/line/S0.2m0.4.png,,,,,0,0.4,P1
1,line,1,0.80,0.2,trig,data/P1/trig/line/S0.2m0.8.png,,,,,1,0.8,P1
1,line,-1,0.40,0.2,line,data/P1/line/line/S0.2m-0.4.png,,,,,2,-0.4,P1
1,line,-1,0.20,0.2,quad,data/P1/quad/line/S0.2m-0.2.png,,,,,3,-0.2,P1
1,line,-1,0.80,0.2,line,data/P1/line/line/S0.2m-0.8.png,,,,,4,-0.8,P1
1,line,1,0.10,0.2,trig,data/P1/trig/line/S0.2m0.1.png,,,,,5,0.1,P1
1,line,1,0.20,0.2,line,data/P1/line/line/S0.2m0.2.png,,,,,6,0.2,P1
1,line,-1,0.10,0.2,trig,data/P1/trig/line/S0.2m-0.1.png,,,,,7,-0.1,P1
1,line,1,0.40,0.05,quad,data/P1/quad/line/S0.05m0.4.png,,,,,8,0.4,P1
1,line,1,0.80,0.05,line,data/P1/line/line/S0.05m0.8.png,,,,,9,0.8,P1
1,line,-1,0.40,0.05,trig,data/P1/trig/line/S0.05m-0.4.png,,,,,10,-0.4,P1
1,line,-1,0.20,0.05,trig,data/P1/trig/line/S0.05m-0.2.png,,,,,11,-0.2,P1
1,linetrend,1,0.20,0.2,trig,data/P1/trig/linetrend/S0.2m0.2.png,1,,,,12,0.2,P1
1,line,-1,0.80,0.05,quad,data/P1/quad/line/S0.05m-0.8.png,,,,,13,-0.8,P1
1,line,1,0.10,0.05,line,data/P1/line/line/S0.05m0.1.png,,,,,14,0.1,P1
1,line,1,0.20,0.05,line,data/P1/line/line/S0.05m0.2.png,,,,,15,0.2,P1
1,line,-1,0.10,0.05,line,data/P1/line/line/S0.05m-0.1.png,,,,,16,-0.1,P1
1,line,1,0.40,0.15,quad,data/P1/quad/line/S0.15m0.4.png,,,,,17,0.4,P1
1,line,1,0.80,0.15,trig,data/P1/trig/line/S0.15m0.8.png,,,,,18,0.8,P1
1,line,-1,0.40,0.15,trig,data/P1/trig/line/S0.15m-0.4.png,,,,,19,-0.4,P1
1,line,-1,0.20,0.15,quad,data/P1/quad/line/S0.15m-0.2.png,,,,,20,-0.2,P1
1,line,-1,0.80,0.15,trig,data/P1/trig/line/S0.15m-0.8.png,,,,,21,-0.8,P1
1,line,1,0.10,0.15,quad,data/P1/quad/line/S0.15m0.1.png,,,,,22,0.1,P1
1,line,1,0.20,0.15,line,data/P1/line/line/S0.15m0.2.png,,,,,23,0.2,P1
1,line,-1,0.10,0.15,quad,data/P1/quad/line/S0.15m-0.1.png,,,,,24,-0.1,P1
1,line,1,0.40,0.1,trig,data/P1/trig/line/S0.1m0.4.png,,,,,25,0.4,P1
1,line,1,0.80,0.1,quad,data/P1/quad/line/S0.1m0.8.png,,,,,26,0.8,P1
1,line,-1,0.40,0.1,line,data/P1/line/line/S0.1m-0.4.png,,,,,27,-0.4,P1
1,line,-1,0.20,0.1,line,data/P1/line/line/S0.1m-0.2.png,,,,,28,-0.2,P1
1,line,-1,0.80,0.1,quad,data/P1/quad/line/S0.1m-0.8.png,,,,,29,-0.8,P1
1,line,1,0.10,0.1,quad,data/P1/quad/line/S0.1m0.1.png,,,,,30,0.1,P1
1,line,1,0.20,0.1,trig,data/P1/trig/line/S0.1m0.2.png,,,,,31,0.2,P1
1,line,-1,0.10,0.1,line,data/P1/line/line/S0.1m-0.1.png,,,,,32,-0.1,P1
1,scatter,1,0.40,0.2,line,data/P1/line/scatter/S0.2m0.4.png,,,,,33,0.4,P1
1,scatter,1,0.80,0.2,line,data/P1/line/scatter/S0.2m0.8.png,,,,,34,0.8,P1
1,scatter,-1,0.40,0.2,quad,data/P1/quad/scatter/S0.2m-0.4.png,,,,,35,-0.4,P1
1,scatter,-1,0.20,0.2,trig,data/P1/trig/scatter/S0.2m-0.2.png,,,,,36,-0.2,P1
1,scatter,-1,0.80,0.2,trig,data/P1/trig/scatter/S0.2m-0.8.png,,,,,37,-0.8,P1
1,scatter,1,0.10,0.2,trig,data/P1/trig/scatter/S0.2m0.1.png,,,,,38,0.1,P1
1,scatter,1,0.20,0.2,quad,data/P1/quad/scatter/S0.2m0.2.png,,,,,39,0.2,P1
1,scatter,-1,0.10,0.2,trig,data/P1/trig/scatter/S0.2m-0.1.png,,,,,40,-0.1,P1
1,scatter,1,0.40,0.05,line,data/P1/line/scatter/S0.05m0.4.png,,,,,41,0.4,P1
1,scatter,1,0.80,0.05,trig,data/P1/trig/scatter/S0.05m0.8.png,,,,,42,0.8,P1
1,scatter,-1,0.40,0.05,quad,data/P1/quad/scatter/S0.05m-0.4.png,,,,,43,-0.4,P1
1,scatter,-1,0.20,0.05,quad,data/P1/quad/scatter/S0.05m-0.2.png,,,,,44,-0.2,P1
1,scatter,-1,0.80,0.05,trig,data/P1/trig/scatter/S0.05m-0.8.png,,,,,45,-0.8,P1
1,scatter,1,0.10,0.05,quad,data/P1/quad/scatter/S0.05m0.1.png,,,,,46,0.1,P1
1,scatter,1,0.20,0.05,line,data/P1/line/scatter/S0.05m0.2.png,,,,,47,0.2,P1
1,scatter,-1,0.10,0.05,quad,data/P1/quad/scatter/S0.05m-0.1.png,,,,,48,-0.1,P1
1,scatter,1,0.40,0.15,line,data/P1/line/scatter/S0.15m0.4.png,,,,,49,0.4,P1
1,scatter,1,0.80,0.15,quad,data/P1/quad/scatter/S0.15m0.8.png,,,,,50,0.8,P1
1,scatter,-1,0.40,0.15,trig,data/P1/trig/scatter/S0.15m-0.4.png,,,,,51,-0.4,P1
1,scatter,-1,0.20,0.15,line,data/P1/line/scatter/S0.15m-0.2.png,,,,,52,-0.2,P1
1,scatter,-1,0.80,0.15,trig,data/P1/trig/scatter/S0.15m-0.8.png,,,,,53,-0.8,P1
1,scatter,1,0.10,0.15,trig,data/P1/trig/scatter/S0.15m0.1.png,,,,,54,0.1,P1
1,scatter,1,0.20,0.15,trig,data/P1/trig/scatter/S0.15m0.2.png,,,,,55,0.2,P1
1,scatter,-1,0.10,0.15,trig,data/P1/trig/scatter/S0.15m-0.1.png,,,,,56,-0.1,P1
1,scattertrend,1,0.10,0.15,line,data/P1/line/scattertrend/S0.15m0.1.png,1,,,,57,0.1,P1
1,scatter,1,0.40,0.1,quad,data/P1/quad/scatter/S0.1m0.4.png,,,,,58,0.4,P1
1,scatter,1,0.80,0.1,line,data/P1/line/scatter/S0.1m0.8.png,,,,,59,0.8,P1
1,scatter,-1,0.40,0.1,line,data/P1/line/scatter/S0.1m-0.4.png,,,,,60,-0.4,P1
1,scatter,-1,0.20,0.1,quad,data/P1/quad/scatter/S0.1m-0.2.png,,,,,61,-0.2,P1
1,scatter,-1,0.80,0.1,trig,data/P1/trig/scatter/S0.1m-0.8.png,,,,,62,-0.8,P1
1,scatter,1,0.10,0.1,trig,data/P1/trig/scatter/S0.1m0.1.png,,,,,63,0.1,P1
1,scatter,1,0.20,0.1,trig,data/P1/trig/scatter/S0.1m0.2.png,,,,,64,0.2,P1
1,scattertrend,1,0.20,0.1,quad,data/P1/quad/scattertrend/S0.1m0.2.png,1,,,,65,0.2,P1
1,scatter,-1,0.10,0.1,quad,data/P1/quad/scatter/S0.1m-0.1.png,,,,,66,-0.1,P1
1,area,1,0.40,0.2,quad,data/P1/quad/area/S0.2m0.4.png,,,,,67,0.4,P1
1,area,1,0.80,0.2,line,data/P1/line/area/S0.2m0.8.png,,,,,68,0.8,P1
1,area,-1,0.40,0.2,line,data/P1/line/area/S0.2m-0.4.png,,,,,69,-0.4,P1
1,area,-1,0.20,0.2,trig,data/P1/trig/area/S0.2m-0.2.png,,,,,70,-0.2,P1
1,area,-1,0.80,0.2,quad,data/P1/quad/area/S0.2m-0.8.png,,,,,71,-0.8,P1
1,area,1,0.10,0.2,quad,data/P1/quad/area/S0.2m0.1.png,,,,,72,0.1,P1
1,area,1,0.20,0.2,quad,data/P1/quad/area/S0.2m0.2.png,,,,,73,0.2,P1
1,area,-1,0.10,0.2,quad,data/P1/quad/area/S0.2m-0.1.png,,,,,74,-0.1,P1
1,area,1,0.40,0.05,quad,data/P1/quad/area/S0.05m0.4.png,,,,,75,0.4,P1
1,area,1,0.80,0.05,quad,data/P1/quad/area/S0.05m0.8.png,,,,,76,0.8,P1
1,area,-1,0.40,0.05,quad,data/P1/quad/area/S0.05m-0.4.png,,,,,77,-0.4,P1
1,area,-1,0.20,0.05,quad,data/P1/quad/area/S0.05m-0.2.png,,,,,78,-0.2,P1
1,area,-1,0.80,0.05,trig,data/P1/trig/area/S0.05m-0.8.png,,,,,79,-0.8,P1
1,area,1,0.10,0.05,trig,data/P1/trig/area/S0.05m0.1.png,,,,,80,0.1,P1
1,area,1,0.20,0.05,quad,data/P1/quad/area/S0.05m0.2.png,,,,,81,0.2,P1
1,area,-1,0.10,0.05,trig,data/P1/trig/area/S0.05m-0.1.png,,,,,82,-0.1,P1
1,area,1,0.40,0.15,line,data/P1/line/area/S0.15m0.4.png,,,,,83,0.4,P1
1,area,1,0.80,0.15,line,data/P1/line/area/S0.15m0.8.png,,,,,84,0.8,P1
1,area,-1,0.40,0.15,line,data/P1/line/area/S0.15m-0.4.png,,,,,85,-0.4,P1
1,area,-1,0.20,0.15,line,data/P1/line/area/S0.15m-0.2.png,,,,,86,-0.2,P1
1,area,-1,0.80,0.15,line,data/P1/line/area/S0.15m-0.8.png,,,,,87,-0.8,P1
1,area,1,0.10,0.15,line,data/P1/line/area/S0.15m0.1.png,,,,,88,0.1,P1
1,area,1,0.20,0.15,trig,data/P1/trig/area/S0.15m0.2.png,,,,,89,0.2,P1
1,area,-1,0.10,0.15,quad,data/P1/quad/area/S0.15m-0.1.png,,,,,90,-0.1,P1
1,area,1,0.40,0.1,trig,data/P1/trig/area/S0.1m0.4.png,,,,,91,0.4,P1
1,areatrend,1,0.20,0.1,line,data/P1/line/areatrend/S0.1m0.2.png,1,,,,92,0.2,P1
1,area,1,0.80,0.1,line,data/P1/line/area/S0.1m0.8.png,,,,,93,0.8,P1
1,area,-1,0.40,0.1,line,data/P1/line/area/S0.1m-0.4.png,,,,,94,-0.4,P1
1,area,-1,0.20,0.1,trig,data/P1/trig/area/S0.1m-0.2.png,,,,,95,-0.2,P1
1,area,-1,0.80,0.1,line,data/P1/line/area/S0.1m-0.8.png,,,,,96,-0.8,P1
1,area,1,0.10,0.1,line,data/P1/line/area/S0.1m0.1.png,,,,,97,0.1,P1
1,area,1,0.20,0.1,line,data/P1/line/area/S0.1m0.2.png,,,,,98,0.2,P1
1,area,-1,0.10,0.1,trig,data/P1/trig/area/S0.1m-0.1.png,,,,,99,-0.1,P1